country,count
Philippines,3
Germany,3
Argentina,2
Colombia,2
United States,2
Indonesia,2
Bolivia,1
Zambia,1
Côte d'Ivoire,1
Spain,1
Mexico,1
Chile,1
Guatemala,1
Sri Lanka,1
Brazil,1
Tanzania,1
Mauritania,1
